,athlete_id,name,born_date,born_city,born_region,born_country,NOC,height_cm,weight_kg,died_date,h to w ratio,first_name,born_year
135753,138967,Simon Chappaz,2002-04-05,,,,France,,,,,Simon,2002.0
136786,140022,Simen Markeng,2002-06-30,Gjøvik,Innlandet,NOR,Norway,,,,,Simen,2002.0
136762,139996,Silviu Popa,2002-08-13,Sibiu,Sibiu,ROU,Romania,,,,,Silviu,2002.0
135732,138946,Silvia Campione,2002-05-26,Segrate,Milano,ITA,Italy,,,,,Silvia,2002.0
136892,140128,Silvia Berra,2002-07-30,Sondrio,Sondrio,ITA,Italy,,,,,Silvia,2002.0
135314,138528,Silvano Gini,2002-04-08,,,,Switzerland,,,,,Silvano,2002.0
136612,139841,Silva Verbič,2002-03-31,,,,Slovenia,,,,,Silva,2002.0
139204,142666,Silja Kosonen,2002-12-16,Raisio,Varsinais-Suomi,FIN,Finland,,,,,Silja,2002.0
144843,148546,Shiori Yamashita,2002-04-28,,,,Japan,,,,,Shiori,2002.0
136063,139285,Shingo Nishiyama,2002-01-24,Tokyo,Tokyo,JPN,Japan,,,,,Shingo,2002.0
135509,138723,Shi Yuanyuan,2002-09-21,,,,People's Republic of China,,,,,Shi,2002.0
143881,147539,Sherzod Mamutov,2002-06-05,Nukus,Qaraqalpaqstan Respublikasi,UZB,Uzbekistan,,,,,Sherzod,2002.0
140443,143952,Shay Kakon,2002-11-05,,,,Israel,,,,,Shay,2002.0
135620,138834,Shawna Pendry,2002-04-05,,,,Great Britain,,,,,Shawna,2002.0
143978,147636,Shaquille Moosa,2002-04-10,,,,Zambia,,,,,Shaquille,2002.0
142790,146412,Shakira January,2002-11-15,,,,South Africa,,,,,Shakira,2002.0
143871,147529,Sevara Safoeva,2002-11-19,Navoiy,Navoiy,UZB,Uzbekistan,170.0,,,,Sevara,2002.0
135561,138775,Serhiy Kryshtal,2002-01-09,,,,Ukraine,176.0,69.0,,2.550724637681159,Serhiy,2002.0
136586,139813,Sergey Bondarev,2002-11-16,,,,Russian Federation,,,,,Sergey,2002.0
137029,140265,Seo Hwi-Min,2002-03-13,,,,Republic of Korea,,,,,Seo,2002.0
137943,141325,Selin Ali,2002-02-14,Aytos,Burgas,BUL,Bulgaria,159.0,,,,Selin,2002.0
136682,139914,Seigo Sato,2002-12-24,,,,Japan,,,,,Seigo,2002.0
135744,138958,Sebastian Bryja,2002-02-11,,,,Poland,,,,,Sebastian,2002.0
136000,139219,Sebastian Veit,2002-09-26,,,,Germany,,,,,Sebastian,2002.0
136595,139823,Sebastian Motzca,2002-05-20,Sinaia,Prahova,ROU,Romania,,,,,Sebastian,2002.0
136648,139879,Sebastian Østvold,2002-01-30,Gjøvik,Innlandet,NOR,Norway,,,,,Sebastian,2002.0
136979,140215,Sebas Diniz,2002-01-16,,,,Netherlands,,,,,Sebas,2002.0
135736,138950,Sasha Masson,2002-11-26,,,,Canada,,,,,Sasha,2002.0
135386,138600,Sarah Escobar,2002-02-01,New York,New York,USA,Ecuador,,,,,Sarah,2002.0
135439,138653,Sarah Brown,2002-06-05,,,,Canada,,,,,Sarah,2002.0
135400,138614,Sara Marøy,2002-03-22,,,,Norway,,,,,Sara,2002.0
135450,138664,Sara Snyder,2002-09-12,,,,Switzerland,,,,,Sara,2002.0
135905,139119,Sara Rigler,2002-02-25,,,,Slovenia,,,,,Sara,2002.0
138713,142129,Sara Corfixsen Milthers,2002-01-14,,,,Denmark,,,,,Sara,2002.0
137015,140251,Sanzhar Zhanissov,2002-07-17,,,,Kazakhstan,,,,,Sanzhar,2002.0
144605,148297,Sanni Rantala,2002-07-08,Riihimäki,Kanta-Häme,FIN,Finland,,,,,Sanni,2002.0
135299,138513,Sandro Zurbrügg,2002-09-21,,,,Switzerland,,,,,Sandro,2002.0
136856,140092,Sandro Mai,2002-07-03,Hall in Tirol,Tirol,AUT,Austria,182.0,74.0,,2.4594594594594597,Sandro,2002.0
136933,140169,Sander Eitrem,2002-02-12,,,,Norway,,,,,Sander,2002.0
135986,139204,Samuele Cheller,2002-10-31,Rovereto,Trento,ITA,Italy,,,,,Samuele,2002.0
145254,148974,Samuel Kňažko,2002-08-07,Trenčín,Trenčín,SVK,Slovakia,185.0,86.0,,2.1511627906976742,Samuel,2002.0
136899,140135,Samantha Paisley,2002-11-14,Salt Lake City,Utah,USA,United States,,,,,Samantha,2002.0
136571,139798,Sam Day,2002-04-14,Mineola,New York,USA,United States,,,,,Sam,2002.0
136587,139814,Sam Eckert,2002-09-20,Baltimore,Maryland,USA,United States,,,,,Sam,2002.0
